startYear,showName,theatre,type,attendance,capacity,grossEarnings,performances
2006,The Drowsy Chaperone,Marquis,Musical,12406,96,1009468,8
2006,The Lion King,Minskoff,Musical,11703,92,1092744,8
2006,The Phantom Of The Opera,Majestic,Musical,10779,84,724024,8
2006,The Producers,St. James,Musical,9320,68,636375,8
2006,The Times They Are A-Changin',Brooks Atkinson,Musical,6763,88,359903,0
2006,The Wedding Singer,Al Hirschfeld,Musical,8427,74,546242,8
2006,Wicked,Gershwin,Musical,14472,100,1412444,8
2006,A Chorus Line '06,Schoenfeld,Musical,8543,100,838716,8
2006,Avenue Q,Golden,Musical,5566,87,388509,8
2006,Beauty And The Beast,Lunt-Fontanne,Musical,8816,73,573499,8
2006,Butley,Booth,Play,4506,83,343060,6
2006,Chicago,Ambassador,Musical,7958,92,557400,8
2006,Dr. Seuss' How The Grinch Stole Christmas!,Hilton Theatre,Musical,10971,60,467817,0
2006,Grey Gardens,Walter Kerr,Musical,6066,82,400570,0
2006,Hairspray,Neil Simon,Musical,9368,82,593902,8
2006,Heartbreak House,American Airlines,Play,5130,87,246135,8
2006,Jay Johnson: The Two And Only,Helen Hayes,Play,1065,23,52403,8
2006,Jersey Boys,August Wilson,Musical,9853,101,1171006,8
2006,Les Miserables 2006,Broadhurst,Musical,7190,92,695688,0
2006,Losing Louie,Biltmore,Play,3330,64,174040,8
2006,Mamma Mia!,Cadillac Winter Garden,Musical,11611,97,920119,8
2006,Martin Short: Fame Becomes Me,Jacobs,Musical,6141,75,472028,8
2006,Mary Poppins,New Amsterdam,Musical,9864,92,801868,0
2006,Monty Python'S Spamalot,Shubert,Musical,10987,95,944316,8
2006,Rent,Nederlander,Musical,5988,63,323387,8
2006,Tarzan,Richard Rodgers,Musical,8037,76,605547,8
2006,The 25Th Annual Putnam County Spelling Bee,Circle In The Square,Musical,4450,81,282669,8
2006,The Coast Of Utopia,Vivian Beaumont,Play,6945,95,348165,0
2006,The Color Purple,Broadway,Musical,12260,89,952970,8
2006,The Drowsy Chaperone,Marquis,Musical,12111,94,970964,8
2006,The Lion King,Minskoff,Musical,11226,88,1027385,8
2006,The Little Dog Laughed,Cort,Play,2782,43,114507,0
2006,The Phantom Of The Opera,Majestic,Musical,10690,83,693695,8
2006,The Producers,St. James,Musical,8343,61,534076,8
2006,The Times They Are A-Changin',Brooks Atkinson,Musical,7212,93,323122,4
2006,The Wedding Singer,Al Hirschfeld,Musical,7599,67,493208,8
2006,Wicked,Gershwin,Musical,14472,100,1408440,8
2006,A Chorus Line '06,Schoenfeld,Musical,8341,98,818230,8
2006,Avenue Q,Golden,Musical,4382,69,317607,8
2006,Beauty And The Beast,Lunt-Fontanne,Musical,8308,69,548336,8
2006,Butley,Booth,Play,5109,82,368709,8
2006,Chicago,Ambassador,Musical,6872,80,487380,8
2006,Company 06,Ethel Barrymore,Musical,5926,70,396816,0
2006,Dr. Seuss' How The Grinch Stole Christmas!,Hilton Theatre,Musical,15493,77,687172,0
2006,Grey Gardens,Walter Kerr,Musical,5370,73,390959,4
2006,Hairspray,Neil Simon,Musical,8448,74,530252,8
2006,Heartbreak House,American Airlines,Play,5097,86,243821,8
2006,Jay Johnson: The Two And Only,Helen Hayes,Play,1081,23,52027,8
2006,Jersey Boys,August Wilson,Musical,9848,101,1168245,8
2006,Les Miserables 2006,Broadhurst,Musical,6458,82,559205,0
2006,Losing Louie,Biltmore,Play,3283,63,162473,8
2006,Mamma Mia!,Cadillac Winter Garden,Musical,12016,100,920277,8
2006,Martin Short: Fame Becomes Me,Jacobs,Musical,5237,64,411129,8
2006,Mary Poppins,New Amsterdam,Musical,10836,86,866182,0
2006,Monty Python'S Spamalot,Shubert,Musical,9510,82,811841,8
2006,Rent,Nederlander,Musical,5024,53,292466,8
2006,Tarzan,Richard Rodgers,Musical,7708,73,598622,8
2006,The 25Th Annual Putnam County Spelling Bee,Circle In The Square,Musical,4054,74,248801,8
2006,The Coast Of Utopia,Vivian Beaumont,Play,7888,94,378797,0
2006,The Color Purple,Broadway,Musical,10707,78,825866,8
2006,The Drowsy Chaperone,Marquis,Musical,10749,83,862819,8
2006,The Lion King,Minskoff,Musical,11663,91,1042194,8
2006,The Little Dog Laughed,Cort,Play,3610,42,152749,0
2006,The Phantom Of The Opera,Majestic,Musical,9644,75,651106,8
2006,The Producers,St. James,Musical,8016,59,499210,8
2006,The Times They Are A-Changin',Brooks Atkinson,Musical,5431,68,319070,8
2006,The Wedding Singer,Al Hirschfeld,Musical,5706,50,375146,8
2006,Wicked,Gershwin,Musical,14378,99,1385490,8
2006,A Chorus Line '06,Schoenfeld,Musical,8173,96,807906,8
2006,Avenue Q,Golden,Musical,5303,83,385333,8
2006,Beauty And The Beast,Lunt-Fontanne,Musical,9827,81,668163,8
2006,Butley,Booth,Play,5877,94,433052,8
2006,Chicago,Ambassador,Musical,7899,91,561431,8
2006,Company 06,Ethel Barrymore,Musical,6583,78,440722,0
2006,Dr. Seuss' How The Grinch Stole Christmas!,Hilton Theatre,Musical,14586,66,891891,11
2006,Grey Gardens,Walter Kerr,Musical,6386,87,468979,8
2006,Hairspray,Neil Simon,Musical,9111,80,606818,8
2006,Heartbreak House,American Airlines,Play,5118,86,244746,8
2006,Jay Johnson: The Two And Only,Helen Hayes,Play,1338,28,63247,8
2006,Jersey Boys,August Wilson,Musical,9844,101,1175005,8
2006,Les Miserables 2006,Broadhurst,Musical,7415,83,653765,5
2006,Losing Louie,Biltmore,Play,3192,61,167098,8
2006,Mamma Mia!,Cadillac Winter Garden,Musical,11881,99,942726,8
2006,Martin Short: Fame Becomes Me,Jacobs,Musical,5896,72,470303,8
2006,Mary Poppins,New Amsterdam,Musical,11443,91,892890,0
2006,Monty Python'S Spamalot,Shubert,Musical,10779,94,948413,8
2006,Rent,Nederlander,Musical,6781,72,382389,8
2006,Tarzan,Richard Rodgers,Musical,8204,78,636318,8
2006,The 25Th Annual Putnam County Spelling Bee,Circle In The Square,Musical,4529,83,299646,8
2006,The Coast Of Utopia,Vivian Beaumont,Play,3090,98,201078,0
2006,The Color Purple,Broadway,Musical,12176,89,944614,8
2006,The Drowsy Chaperone,Marquis,Musical,11010,85,946388,8
2006,The Lion King,Minskoff,Musical,11603,91,1059416,8
2006,The Little Dog Laughed,Cort,Play,4064,47,172616,0
2006,The Phantom Of The Opera,Majestic,Musical,9957,77,695274,8
2006,The Producers,St. James,Musical,9365,69,601911,8
2006,The Times They Are A-Changin',Brooks Atkinson,Musical,5218,65,319078,8
2006,The Vertical Hour,Music Box,Play,3851,97,309000,0
